content,userName,score,app_name
layan bagus driver ramah tapi sayang pas cari driver muncul 2 sekaligus jadi nama yg mncul aplikasi satu nama tdk muncul tapi dua nya masuk chat wa otomatis 1 nya hrus batal kasi drivernya kalau begitu mohon baik lagi trmakasih,Jihan Maghfirah Arfiani Lahay,4,nujek
kalo siap bikin aplikasi mending jangan paksa baru daftar sulit jaring sibuk terus harus pakai telkomsel pilih rute driver yg ribet mohon baik lagi buat apa kalo harga jangkau tp sulit buat pakai,Putri Rahayu,2,nujek
sering tiba down server kalau cuaca hujan guna bisa mes tulis connectivity bar merah selalu muncul aplikasi benar bagus bukti hemat saja masalah konektifitas gagal aplikasi,Angga Juliant,2,nujek
asalamu alaikum baik searc lokasi pilih lokasi jalan muncul padahal hapus dulu aplikasi nujek versi 3 dan saya instal ulang nujek versi 4 hasil tetap sama sear lokasi maps muncul tolong tingkat lagi wasalam,Pengguna Google,3,nujek
ui dibagusin lah jadul banget server dibagusin rekomendasi driver dasar driver dekat jadi masuk list dekat saja jangan melulu bisa milih driver yang entah antah mana jauh,Pimpin,3,nujek
payah sudah update tetep aja banyak jalan yg ga masuk rumah pinggir jalan jalan nya hilang jadi kaya hutan klo map nya ga di ganti ky app ojol2 ya tetep aja begitu customer jd susah nentuin titik jemput driver jg susah nemuin titik jemput yg jalan hilang,Pengguna Google,5,nujek
maps yg baru banyak kurang lebih bagus maps yg lama sangat mudah tentu titip jemput titik tuju saran lebih baik pake maps yg lama lebih mudah pake maps yg baru harus sempurna lage terus update yg lebih baik bravo nujek,Pengguna Google,4,nujek
aplikasi makin mantap mungkin lebih tingkat kualitas semua hehehehhe jangan selalu eror ini jangan jadi untuk mapsnya mungkin di up agar guna bingung tentu titik jemput tuju,Pengguna Google,5,nujek
mohon otp lebih baik arah no hp karena otp lalu email terlalu sulit dan alangkah baik trial error dulu utk lebih baik perlu qa utk tester betul devops yg betul jg warga nahdliyin terima kasih,Pengguna Google,2,nujek
mohon baik karena aplikasi sering trouble yg akibat driver susah bahkan bisa konfirmasi jemput akhir minta cancel pesan kadang posisi driver tidak akurat maps di aktual,Maria Ulfa Setyawan,5,nujek
di aplikasi yg baru sulit tentu titik alamat maps banyak alamat jalan gang yg hilang nampak maps lebih mudah maps aplikasi yg lama lebih simpel contoh rumah saya yg ada gang 2 hilang padahal gang 1 ada tolong di baik,Pengguna Google,1,nujek
murah sih server sering down drivernya lamban slow respon terkadang sulit cari driver padahal sedang buru buru habis banyak waktu cari driver kembali muncul notifikasi pesan terima driver lamban merespon sering salah paham,Nabila Aulia Rahmah,2,nujek
mohon terus baik cs nyaman senang guna aplikasi ini titik jmput map gambar driver map diem aja ga jalan padahal driver jalan titik jemput semangatmajubersamanujek,kiki mahdi,5,nujek
punten kang mending file apknya gede tpi kualitas tidak bug pada file kecil tpi bnyak sekali bug semangat trs baik,Muhammad Irfani,5,nujek
daftar calon tumpang mudah lg kode aktivasi tak kunjung kirim sudah daftar 3 nomor beda bahkan ganti jaring seluler wifi tetap tak kode aktivasinya semangat nujek ayo update,Pengguna Google,1,nujek
baik sistem apk 1 ketika pesan 1 driver malah hubung lebih 2 driver 2 ketika mau sen cari lokasi kota cianjur malah muncul kota surabaya jauh lokasi,Rayna Rahmadaniar Awaliah,3,nujek
aplikasi sangat ringan tarif hemat bisa langgan pilih driver inti sangat bantu masyarakat wilayah purwokerto sekitar nujek memang oke terima kasih nujek moga jaya indonesia khusus purwokerto hidup nujek,Titi Suryanti,5,nujek
biasa bagus tidak tau knpa skrng lelet minta ampun s pake jaring 4g samp pake wifi ttp tdk bisa s hampir s ham coba ttp tdk akhir serah s pake bentor manual plus kadang m cari driver susah minta ampun mohon baik nyaman langgan,Pengguna Google,4,nujek
