content,userName,score,at,app_name
alhamdulillah aplikasi ne bagus walau gak tau order karna tdk driver murah banding maxim nya tp pas buka langsung arah nufood tidak bayar dgn e wallet bikin kerjasama sama nupay beberapa tempat tdk tersediya,Azfar Keren,5,2025-03-23 05:49:05,nujek
gk yang naik sepiii,Channel Om BP,1,2025-02-13 11:02:31,nujek
murah riah peke nujek ayo buru download nujek,JAJU JUANDI,5,2025-01-30 10:06:35,nujek
ayo min kembang lagi biar makin kembang dari santri nusantara,Ali Sabarudin,4,2025-01-30 09:23:15,nujek
peluang bagus perlu publikasi yg dahsyat tambah fitur referal,Bang Udin,5,2025-01-25 23:45:37,nujek
tidak saran download aplikasi ojol mending download yg aja nomor wa pribadi sebar hati,bayu pamungkas,1,2025-01-18 16:37:35,nujek
banyak bug sampai sekarang di pacth,A. RAFLY SAHRUL RAMADHANY MIFTHAH,1,2025-01-16 22:19:20,nujek
daerah banjarbaru ada,Muzammil Ahmad,1,2025-01-15 03:29:12,nujek
kualitas aplikasi sangat buruk,arief rahman,1,2025-01-13 04:43:54,nujek
moga nujek makin kembang,Ajay Marhaenisme,5,2025-01-08 19:52:53,nujek
pergi mana lebih hemat lebih cepat aman simple,Sandy Febrian,5,2025-01-01 15:08:05,nujek
bagus cepat murah tahan,Adam Yusuf,5,2024-12-24 22:34:58,nujek
murah ramah cepat sangat bantu kalo mau mana,Alamsyah Alkap,5,2024-12-24 12:57:01,nujek
layan lama sekali akhir copot,Jesayas Anggiat Sirait,2,2024-12-03 15:46:57,nujek
susah buka aplikasi berat susah daftar pilih ngelag pencet bisa macet baik sistem,Ardis Wiranata,3,2024-11-20 15:44:33,nujek
dah beberapa kali bongkr pasang ni aplikasi tp tetep aja gak login payah,Den Dens (D'wins),2,2024-11-02 15:45:24,nujek
tarif hemat bisa pilih driver langgan ojol andal purwokerto,Meilianto Raharjo,5,2024-10-27 09:25:28,nujek
lama banget datang aku nungguin sampe kesel mau dicancel gak cancelnya jadi mesennya dobel terus kalau udah datang satu malah satu baru datang mana satu gak pake seragam jadi bingung,Devita Maulani,2,2024-10-10 13:35:14,nujek
baru sekali pake cepat respon,Nur Asri,5,2024-09-21 02:13:11,nujek
saldo endap apk nujek bs cair mohon solusi terima ksh,Irwan Kostaman,3,2024-09-13 02:38:08,nujek
untuk ganggu beritahukan kantor tanggap nya jaring peta suka ngoco dulu kayak gitu kalau bukan murah apk sudah tinggal kadang suka kasi ama drivernya ga sesuai aja pantesan aja suka di tolak mungkin ngaconya customer ga tau,Held Anwar,3,2024-09-02 04:28:06,nujek
aplikasi recom buat cianjur bagus banget irit,Arriza Fathir,4,2024-08-07 05:51:49,nujek
driver sengaja mau terima pesan,Redemtus Dionisius Pa,1,2024-08-03 03:35:08,nujek
aplikasi sangat bantu custemer,Tri Wibowo,5,2024-07-23 06:47:53,nujek
aplikasi abal abal kurang modal kurang promosi ga biaya bikin usaha akhir promo andal driver kocak mending tutup dah kalo buat driver sengsara,Capella72,1,2024-07-13 14:19:32,nujek
mantap aplikasi hasil karya anak bangsa mantoolll,Hairul Azriel,5,2024-06-18 16:11:30,nujek
driver nya sebal aplikasi memang murah pas udh nyampe tempat minta 2 kali lipat,Merrysa Anggraeni,1,2024-06-09 12:53:47,nujek
paraaahhhh kurang modal berani bikin usaha,Theresia Winona Tambayon,1,2024-06-07 01:35:55,nujek
nujek pokok mantap login gak sulit langsung proses driver nya sipp harga nya rakyat banget bagus kantong pokok tahan moga sukses selalu nujek,Bela Saputra,5,2024-05-13 08:48:50,nujek
kalo drivernya ospek dulu drivernya kadang manja gamau nganterin tempat tuju kalo jauh padahal tera bayar berapa,Dea Mutiara,1,2024-04-30 09:56:15,nujek
order ga prnh d terima driver wkwk hpus aj,dewi Febrianti,1,2024-04-04 08:59:54,nujek
udah bbrapa kali login nujek gk terus sampe ganti akun tetep az gk padahal sy langgan nujek yg paling sering guna jasa nujek tpi pas udah error gin mls jadi uninstal az mohon diperbaiku tuh jaring servernya,Yusuf Hamdani,1,2024-04-01 00:12:17,nujek
abang nya ramah2 utama biaya nya sangat hemat makasih nujek sdh sangat bantu jalan,Enung Hamidah,5,2024-03-23 14:18:53,nujek
hilang izin akses foto dan video itu adalah privasi ug mungkin bisa salah guna,R Haris.Z,1,2024-03-15 14:09:35,nujek
gaje aplikasi pas pagi ga login,epep asik (epepp),1,2024-03-13 23:25:00,nujek
kasih bintang satu soal pas masuk daftar ga terus padahal jaring baik aja,Yohana Marsela Patrisia,1,2024-03-06 10:53:44,nujek
mapsnya lot jadi gk tau udh saat driver nya jemput jadi sering nunggu lama karna maps yg gk akurat,Aulia Rachmah Nursyafitri,3,2024-02-23 23:34:04,nujek
di bandung udah belum,Budi Sulaeman,5,2024-02-22 09:20:42,nujek
aplikasi gak jelas gak driver sama sekali,Lonely24 Gaming,1,2024-02-17 12:10:46,nujek
krna bisa verifikasi,Sumargiati Atik,3,2024-02-13 14:18:44,nujek
lah driver nya seleksi di briefing belum berangkat ngojek masa tiap pagi nunggu tengah jam buat driverny njemput padahal posisi dekat banyak driver gatau jalan malah muter gajelas,Zaid Alfathsya,1,2024-02-09 01:10:33,nujek
kendala utama peta nya ngaco harga miring peta nya miring pantesan harga murah ngarahin peta ngaco parah banyak update ga kembang malah tambah parah,anwar cecep,5,2024-01-18 01:12:44,nujek
alhamdulillaah punya ku lancar jaya sukses terus nujek,OTR Channel,5,2024-01-10 11:55:54,nujek
hilang sistem pilih driver biar yg rata bukan driver aja yg pilih,Riskyfast Fast,1,2024-01-09 10:41:29,nujek
sudah bagus kalo peta sering banget driver nya ga liat gerak map jelas ya,Andika Dwi Santosa,3,2024-01-09 09:39:53,nujek
sy langgan setia nujek dr mulai sampai sekarang jalan selalu nyaman layan drivernya jg ramah tdk pernah masalah dgn tumpang justru mau bantu bawa rapi barang2 bawa ke bagasi terima kasih nujek,Sri Soes Pudjiati,5,2023-12-31 03:26:48,nujek
saya suka jadi alternatif buat banding,Aufal Arrafy,5,2023-12-29 23:03:04,nujek
tolong nujek kota cirebon kab cirebon aktif dong benar nujek lebih baik aplikasi,Heru Permadi,5,2023-12-12 02:30:46,nujek
bikin lama bgt kecantol driver bikin bingung aj,Nisa Triwahyuni,1,2023-12-03 01:10:16,nujek
murah hemat jangkau,Dendi Rizaldi,5,2023-12-02 15:00:16,nujek
kalo siap bikin aplikasi mending jangan paksa baru daftar sulit jaring sibuk terus harus pakai telkomsel pilih rute driver yg ribet mohon baik lagi buat apa kalo harga jangkau tp sulit buat pakai,Putri Rahayu,2,2023-11-30 02:46:39,nujek
aplikasi sangat ringan tarif hemat bisa langgan pilih driver inti sangat bantu masyarakat wilayah purwokerto sekitar nujek memang oke terima kasih nujek moga jaya indonesia khusus purwokerto hidup nujek,Titi Suryanti,5,2023-11-14 00:26:44,nujek
inti nya udah jelek aja,Reni Agustianirahayu,1,2023-11-13 23:10:21,nujek
terlalu sering error,Jhonie,3,2023-11-08 23:38:33,nujek
tarif cukup murah driver ramah,Dwiana Arimbi,4,2023-10-23 09:48:28,nujek
aplikasi gajelas error sebab,nazla alhadad,1,2023-10-21 07:32:23,nujek
pokoke baik lahh,Yavvi Adi Nurrahman,5,2023-10-13 00:20:47,nujek
pilih driver cianjur yan andriana,Yan Andriana,5,2023-10-03 11:20:26,nujek
harga bagus peta bagus cuma chat kok masuk wa jd nomer mlh sebar tolong baik byk iklan kota2 besar,baton safari kukuh,5,2023-10-03 02:19:28,nujek
tingkat poko the best,Siti Vina,4,2023-09-27 10:45:53,nujek
udah update telah g pernah nama dpt order,annas utomo,5,2023-09-20 05:00:38,nujek
aplikasi yg bnyk bug ny mulai dri mw login aj error mlu trus dirver ny sombong gmw trima ck,Vlademir Is flower,1,2023-09-05 03:47:15,nujek
murah aman,Farrel Ravi,5,2023-09-01 09:22:45,nujek
tidak fitur nilai driver,AIR CACING RUQYAH,4,2023-08-27 11:15:14,nujek
aplikasinyaa baik deh pokonyaa harga rakyat tpi high quality mimin nya jga ngebantu bgttt pokonyaa aplikasi ter thebestt dehh favorit aku,Keysha makala Balqis firdaus,5,2023-08-27 08:07:25,nujek
turut nujek aplikator baik dunia per ojolan selain tarif sangat murah driver nya ramah ramah,Adzkiya Naila fardhan,5,2023-08-25 22:15:19,nujek
kantor cabang nujek surabaya daerah mana,edwin kusuma,2,2023-08-14 08:11:34,nujek
aplikasi jelek saat butuh driver hampir 1 jam cari driver gak satu nyangkut parah bangett,Layla Alvi Yani balfast,1,2023-08-13 02:49:23,nujek
bagus sangat bantu,HAMIM MUSTOFA,3,2023-08-11 12:40:56,nujek
tolong lah kasih fitur ganti nomor telpon minimal kasih fitur chat aplikasi lah kaya apk belah biar gampang komunikasi cs sama driver kadang cs order tp dihubungin ga aktif lapor customer service jg ga tanggap payah bgt,rasidfds,1,2023-08-11 10:02:03,nujek
