userName,content,score,at,app_name
Pengguna Google,bagus,5,2025-04-12 22:43:39,grab
Pengguna Google,mengantarkan dengan selamat,5,2025-04-12 22:43:01,grab
Pengguna Google,"sangat membantu, semua jd mudah dalam perjalanan",5,2025-04-12 21:06:01,grab
Pengguna Google,bagus aflikasinya lancar,5,2025-04-12 20:56:41,grab
Pengguna Google,sangat membantu,4,2025-04-12 20:47:38,grab
Pengguna Google,woiii.. pengambilan makanan jarah 2 -3 km.. sampai di resto ternyata tutup.. padahal dari pihak resto sudah matikan aplikasi.. kasihan driver..batalkan pesanan performa driver turun. emang Yahudi aplikasi ini..,1,2025-04-12 20:44:32,grab
Pengguna Google,bagus,5,2025-04-12 20:26:02,grab
Pengguna Google,bagus,5,2025-04-12 20:15:46,grab
Pengguna Google,aplikasi yang bagus aku puas sama pelayanan mas ojol nya enggak usah nunggu lama lagi,4,2025-04-12 20:09:15,grab
Pengguna Google,bagus,5,2025-04-12 19:10:22,grab
Pengguna Google,"pelayanan y bagus,makasih mas grab 👍🙏",5,2025-04-12 19:01:25,grab
Pengguna Google,mantap,5,2025-04-12 18:07:12,grab
Pengguna Google,"Tingkatkn lg .... hari ini 12Apr25, akses langganan Grabunlimited saya kok gak bisa ya? dan ketika coba beli paket jg gak bisa? sehingga, semua promo gak bisa kita nikmati, error atau apa ya? mhn penjelasan dan bantuannya..trimz.🙏",5,2025-04-12 18:03:08,grab
Pengguna Google,bagus,5,2025-04-12 17:39:30,grab
Pengguna Google,pesanan cepat,5,2025-04-12 17:28:50,grab
Pengguna Google,good,5,2025-04-12 17:23:33,grab
Pengguna Google,sangat baik,5,2025-04-12 16:52:18,grab
Pengguna Google,Driver Safely🙏,5,2025-04-12 16:39:11,grab
Pengguna Google,ok bangat,5,2025-04-12 16:29:06,grab
Pengguna Google,tarif murah tapi driver ga ada yg mau ambil... sulit,1,2025-04-12 16:11:24,grab
Pengguna Google,sangat membantu,4,2025-04-12 16:07:03,grab
Pengguna Google,bagus dan sangat membantu..,5,2025-04-12 15:54:11,grab
Pengguna Google,pelayanan cepat dan nyaman,5,2025-04-12 15:50:23,grab
Pengguna Google,ramah,5,2025-04-12 15:47:50,grab
Pengguna Google,"grab motor nya si ramah ramah cmn ada beberapa grab carnya yg agak kurang,kurang ramah,kurang bgt jujur jd males naik grab car tapi grab motornya bagus",2,2025-04-12 15:47:17,grab
Pengguna Google,"pesan apa2 hemat, waktunya ga masuk akal. pesan makanan aja untuk SAMPAI KE APLIKASI PENJUAL SAMPE.SETNGH JAM.. HAHAHAHA TOLOLLL",1,2025-04-12 15:40:09,grab
Pengguna Google,bagus,5,2025-04-12 15:29:33,grab
Pengguna Google,ok mantap,5,2025-04-12 15:14:05,grab
Pengguna Google,drever ok bisa di ajak ngobrol dan berkendara dengan aman,5,2025-04-12 14:58:14,grab
Pengguna Google,"Voucher tdk bisa terpakai namun bisa dipilih membuat bingung cust, belum lagi saat masuk log in ulang akun saldo ovo hilang padahal nomor sudah sesuai",1,2025-04-12 14:58:09,grab
Pengguna Google,apalah ongkir nya mahal bngt cik 😹,1,2025-04-12 14:42:25,grab
Pengguna Google,bagus,5,2025-04-12 14:35:04,grab
Pengguna Google,baik & ramah,5,2025-04-12 14:32:53,grab
Pengguna Google,mantaf,5,2025-04-12 14:31:44,grab
Pengguna Google,favorit,5,2025-04-12 14:18:50,grab
Pengguna Google,ojolnya baik dan ramah,5,2025-04-12 14:04:33,grab
Pengguna Google,terbaik,5,2025-04-12 13:57:20,grab
Pengguna Google,"drivernya baik, ramah, sopan, mobil nyaman",5,2025-04-12 13:50:43,grab
Pengguna Google,terlalu mhal,3,2025-04-12 13:47:02,grab
Pengguna Google,terimakasih,5,2025-04-12 13:36:00,grab
Pengguna Google,"Saya suka aplikasi ini, harga juga ditengah tengah, banyak diskon, banyak pilihan pengantaran. Hanya saja untuk pusat bantuan seolah olah tidak bebas untuk menjelaskan, karna sudah terarah pilihannya, padahal saya mau bertanya atau Melaporkan hal lain. Perlu pelatihan bagi para driver, tidak banyak tapi selama saya menggunakan ada satu driver buat saya risih dengan banyak pertanyaan dan tatapan yang intens dan menganggu. karna ini sudah 2 kali driver itu mengambil pesanan saya. Terima kasih",4,2025-04-12 13:34:09,grab
Pengguna Google,pk grab nya baik sopan,5,2025-04-12 13:34:04,grab
Pengguna Google,mantap,5,2025-04-12 13:33:15,grab
Pengguna Google,mantap grab,5,2025-04-12 13:29:51,grab
