userName,content,score,at,app_name
ZAINAL ABIDIN,puas banget,5,2025-04-09 11:24:58,nujek
Azfar Keren,"alhamdulillah aplikasi ne bagus,walau gak tau order karna tdk ada driver,murah di banding maxim & lain nya,tp pas buka langsung di arahkan ke nufood,&tidak ada pembayaran dgn e wallet,bikin kerjasama sama nupay,beberapa tempat tdk tersediya...",5,2025-03-23 05:49:05,nujek
Channel Om BP,Gk ada yang naik sepiii,1,2025-02-13 11:02:31,nujek
Hadi Sugianto,Baik,5,2025-02-08 09:57:43,nujek
fajar kurniawan,Mantap,5,2025-02-04 09:21:50,nujek
JAJU JUANDI,Murah meriah peke nujek ayo buruan download nujek,5,2025-01-30 10:06:35,nujek
Ali Sabarudin,"Ayo min kembangkan lagi, biar makin berkembang. Dari santri untuk Nusantara",4,2025-01-30 09:23:15,nujek
Bang Udin,"Peluang bagus perlu publikasi yg dahsyat, tambah fitur referal",5,2025-01-25 23:45:37,nujek
bayu pamungkas,"Tidak disarankan download aplikasi ojol ini mending download yg lain aja, nomor wa pribadi bisa kesebar hati-hati",1,2025-01-18 16:37:35,nujek
A. RAFLY SAHRUL RAMADHANY MIFTHAH,banyak bug yang sampai sekarang belum di pacth.,1,2025-01-16 22:19:20,nujek
Muzammil Ahmad,Daerah Banjarbaru tidak ada,1,2025-01-15 03:29:12,nujek
arief rahman,Kualitas aplikasi sangat buruk.,1,2025-01-13 04:43:54,nujek
Ajay Marhaenisme,Semoga NUjek makin berkembang 🌻🔥,5,2025-01-08 19:52:53,nujek
Sandy Febrian,"Pergi kemanapun lebih hemat, lebih cepat, aman dan simple",5,2025-01-01 15:08:05,nujek
Adam Yusuf,"Bagus cepat murah,, harus dipertahankan",5,2024-12-24 22:34:58,nujek
Alamsyah Alkap,Murah ramah cepat sangat membantu kalo mau kemana mana,5,2024-12-24 12:57:01,nujek
kang soleh86,Mantap,5,2024-12-14 10:36:25,nujek
Jesayas Anggiat Sirait,"Layanannya lama sekali, akhirnya saya copot.",2,2024-12-03 15:46:57,nujek
Ardis Wiranata,Susah buka aplikasi berat dan susah daftar pilihan ngelag di pencet tidak bisa macet perbaiki sistem ini,3,2024-11-20 15:44:33,nujek
Den Dens (D'wins),Dah beberapa kali bongkr pasang ni aplikasi tp tetep aja gak bisa login payah,2,2024-11-02 15:45:24,nujek
Meilianto Raharjo,"Tarif hemat,bisa pilih driver dan berlangganan,ojol andalanku di Purwokerto",5,2024-10-27 09:25:28,nujek
Devita Maulani,"lama banget datangnya,aku nungguin sampe kesel mau dicancel tapi gak ada cancelnya jadi mesennya dobel terus kalau udah datang satu malah satu baru datang mana yang satu lagi gak pake seragam jadi bingung",2,2024-10-10 13:35:14,nujek
Nur Asri,Baru sekali pake cepat respon👍,5,2024-09-21 02:13:11,nujek
Irwan Kostaman,"Saldo saya mengendap di apk Nujek, apakah bs dicairkan ? Mohon solusi, terima ksh",3,2024-09-13 02:38:08,nujek
